sku_id,title,description,availability,condition,price,link,image_link,additional_image_link,brand,sale_price,item_group_id,pattern,product_type,google_product_category,age_group,gender,color,shipping_weight,shipping,custom_label_0,custom_label_1,custom_label_2,custom_label_3,custom_label_4,merchant_brand
TA-LAN-P05,"African Print Breakaway Lanyard for ID Badges & Keys by TobiAkiode - Leopard Carnival","African print breakaway lanyard for ID badges, work passes and keys, available in 10 distinctive pattern choices for work, events, training and gifting.","in stock",new,"12.99 GBP",https://tobiakiode.com/shop/product/african-print-lanyard-tobiakiode/?selected=107,https://i0.wp.com/tobiakiode.com/wp-content/uploads/2026/09/tobiakiode-african-print-lanyard-leopard-carnival-hero-studio-white-v3.avif?format=jpg&ssl=1&filename=TA-LAN-P05.jpg,"https://i0.wp.com/tobiakiode.com/wp-content/uploads/2026/09/tobiakiode-african-print-lanyard-leopard-carnival-merchant-featured-studio-white-v3.avif?format=jpg&ssl=1&filename=TA-LAN-P05-2.jpg,https://i0.wp.com/tobiakiode.com/wp-content/uploads/2026/09/tobiakiode-african-print-lanyard-leopard-carnival-alternate-studio-white-v3.avif?format=jpg&ssl=1&filename=TA-LAN-P05-3.jpg,https://i0.wp.com/tobiakiode.com/wp-content/uploads/2026/09/tobiakiode-african-print-lanyard-leopard-carnival-print-closeup-studio-white-v3.avif?format=jpg&ssl=1&filename=TA-LAN-P05-4.jpg,https://i0.wp.com/tobiakiode.com/wp-content/uploads/2026/09/tobiakiode-african-print-lanyard-leopard-carnival-safety-release-studio-white-v3.avif?format=jpg&ssl=1&filename=TA-LAN-P05-5.jpg,https://i0.wp.com/tobiakiode.com/wp-content/uploads/2026/09/tobiakiode-african-print-lanyard-leopard-carnival-brand-clasp-studio-white-v3.avif?format=jpg&ssl=1&filename=TA-LAN-P05-6.jpg,https://i0.wp.com/tobiakiode.com/wp-content/uploads/2026/08/tobiakiode-african-print-lanyard-leopard-carnival-gentleman-corporate-lifestyle.avif?format=jpg&ssl=1&filename=TA-LAN-P05-7.jpg,https://i0.wp.com/tobiakiode.com/wp-content/uploads/2026/08/tobiakiode-african-print-lanyard-leopard-carnival-lady-corporate-lifestyle.avif?format=jpg&ssl=1&filename=TA-LAN-P05-8.jpg,https://i0.wp.com/tobiakiode.com/wp-content/uploads/2026/08/tobiakiode-african-print-lanyard-leopard-carnival-group-community-lifestyle.avif?format=jpg&ssl=1&filename=TA-LAN-P05-9.jpg",TobiAkiode,"9.99 GBP",FC-412916,"Leopard Carnival","Apparel & Accessories > Clothing Accessories > Lanyards","Apparel & Accessories > Clothing Accessories",adult,unisex,Multicolour,"0.016 kg","GB:::3.49 GBP",lanyards,sale-price-active,website-checkout,in-stock,fluentcart,TobiAkiode
TA-LAN-P01,"African Print Breakaway Lanyard for ID Badges & Keys by TobiAkiode - Cobalt Mosaic","African print breakaway lanyard for ID badges, work passes and keys, available in 10 distinctive pattern choices for work, events, training and gifting.","in stock",new,"12.99 GBP",https://tobiakiode.com/shop/product/african-print-lanyard-tobiakiode/?selected=103,https://i0.wp.com/tobiakiode.com/wp-content/uploads/2026/09/tobiakiode-african-print-lanyard-cobalt-mosaic-hero-studio-white-v3.avif?format=jpg&ssl=1&filename=TA-LAN-P01.jpg,"https://i0.wp.com/tobiakiode.com/wp-content/uploads/2026/09/tobiakiode-african-print-lanyard-cobalt-mosaic-merchant-featured-studio-white-v3.avif?format=jpg&ssl=1&filename=TA-LAN-P01-2.jpg,https://i0.wp.com/tobiakiode.com/wp-content/uploads/2026/09/tobiakiode-african-print-lanyard-cobalt-mosaic-alternate-studio-white-v3.avif?format=jpg&ssl=1&filename=TA-LAN-P01-3.jpg,https://i0.wp.com/tobiakiode.com/wp-content/uploads/2026/09/tobiakiode-african-print-lanyard-cobalt-mosaic-print-closeup-studio-white-v3.avif?format=jpg&ssl=1&filename=TA-LAN-P01-4.jpg,https://i0.wp.com/tobiakiode.com/wp-content/uploads/2026/09/tobiakiode-african-print-lanyard-cobalt-mosaic-safety-release-studio-white-v3.avif?format=jpg&ssl=1&filename=TA-LAN-P01-5.jpg,https://i0.wp.com/tobiakiode.com/wp-content/uploads/2026/09/tobiakiode-african-print-lanyard-cobalt-mosaic-brand-clasp-studio-white-v3.avif?format=jpg&ssl=1&filename=TA-LAN-P01-6.jpg,https://i0.wp.com/tobiakiode.com/wp-content/uploads/2026/08/tobiakiode-african-print-lanyard-cobalt-mosaic-gentleman-corporate-lifestyle.avif?format=jpg&ssl=1&filename=TA-LAN-P01-7.jpg,https://i0.wp.com/tobiakiode.com/wp-content/uploads/2026/08/tobiakiode-african-print-lanyard-cobalt-mosaic-lady-corporate-lifestyle.avif?format=jpg&ssl=1&filename=TA-LAN-P01-8.jpg,https://i0.wp.com/tobiakiode.com/wp-content/uploads/2026/08/tobiakiode-african-print-lanyard-cobalt-mosaic-group-community-lifestyle.avif?format=jpg&ssl=1&filename=TA-LAN-P01-9.jpg",TobiAkiode,"9.99 GBP",FC-412916,"Cobalt Mosaic","Apparel & Accessories > Clothing Accessories > Lanyards","Apparel & Accessories > Clothing Accessories",adult,unisex,Multicolour,"0.016 kg","GB:::3.49 GBP",lanyards,sale-price-active,website-checkout,in-stock,fluentcart,TobiAkiode
TA-LAN-P08,"African Print Breakaway Lanyard for ID Badges & Keys by TobiAkiode - Midnight Tiles","African print breakaway lanyard for ID badges, work passes and keys, available in 10 distinctive pattern choices for work, events, training and gifting.","in stock",new,"12.99 GBP",https://tobiakiode.com/shop/product/african-print-lanyard-tobiakiode/?selected=110,https://i0.wp.com/tobiakiode.com/wp-content/uploads/2026/09/tobiakiode-african-print-lanyard-midnight-tiles-hero-studio-white-v3.avif?format=jpg&ssl=1&filename=TA-LAN-P08.jpg,"https://i0.wp.com/tobiakiode.com/wp-content/uploads/2026/09/tobiakiode-african-print-lanyard-midnight-tiles-merchant-featured-studio-white-v3.avif?format=jpg&ssl=1&filename=TA-LAN-P08-2.jpg,https://i0.wp.com/tobiakiode.com/wp-content/uploads/2026/09/tobiakiode-african-print-lanyard-midnight-tiles-alternate-studio-white-v3.avif?format=jpg&ssl=1&filename=TA-LAN-P08-3.jpg,https://i0.wp.com/tobiakiode.com/wp-content/uploads/2026/09/tobiakiode-african-print-lanyard-midnight-tiles-print-closeup-studio-white-v3.avif?format=jpg&ssl=1&filename=TA-LAN-P08-4.jpg,https://i0.wp.com/tobiakiode.com/wp-content/uploads/2026/09/tobiakiode-african-print-lanyard-midnight-tiles-safety-release-studio-white-v3.avif?format=jpg&ssl=1&filename=TA-LAN-P08-5.jpg,https://i0.wp.com/tobiakiode.com/wp-content/uploads/2026/09/tobiakiode-african-print-lanyard-midnight-tiles-brand-clasp-studio-white-v3.avif?format=jpg&ssl=1&filename=TA-LAN-P08-6.jpg,https://i0.wp.com/tobiakiode.com/wp-content/uploads/2026/08/tobiakiode-african-print-lanyard-midnight-tiles-gentleman-corporate-lifestyle.avif?format=jpg&ssl=1&filename=TA-LAN-P08-7.jpg,https://i0.wp.com/tobiakiode.com/wp-content/uploads/2026/08/tobiakiode-african-print-lanyard-midnight-tiles-lady-corporate-lifestyle.avif?format=jpg&ssl=1&filename=TA-LAN-P08-8.jpg,https://i0.wp.com/tobiakiode.com/wp-content/uploads/2026/08/tobiakiode-african-print-lanyard-midnight-tiles-group-community-lifestyle.avif?format=jpg&ssl=1&filename=TA-LAN-P08-9.jpg",TobiAkiode,"9.99 GBP",FC-412916,"Midnight Tiles","Apparel & Accessories > Clothing Accessories > Lanyards","Apparel & Accessories > Clothing Accessories",adult,unisex,Multicolour,"0.016 kg","GB:::3.49 GBP",lanyards,sale-price-active,website-checkout,in-stock,fluentcart,TobiAkiode
TA-LAN-P03,"African Print Breakaway Lanyard for ID Badges & Keys by TobiAkiode - Amber Sunrise","African print breakaway lanyard for ID badges, work passes and keys, available in 10 distinctive pattern choices for work, events, training and gifting.","in stock",new,"12.99 GBP",https://tobiakiode.com/shop/product/african-print-lanyard-tobiakiode/?selected=105,https://i0.wp.com/tobiakiode.com/wp-content/uploads/2026/09/tobiakiode-african-print-lanyard-amber-sunrise-hero-studio-white-v3.avif?format=jpg&ssl=1&filename=TA-LAN-P03.jpg,"https://i0.wp.com/tobiakiode.com/wp-content/uploads/2026/09/tobiakiode-african-print-lanyard-amber-sunrise-merchant-featured-studio-white-v3.avif?format=jpg&ssl=1&filename=TA-LAN-P03-2.jpg,https://i0.wp.com/tobiakiode.com/wp-content/uploads/2026/09/tobiakiode-african-print-lanyard-amber-sunrise-alternate-studio-white-v3.avif?format=jpg&ssl=1&filename=TA-LAN-P03-3.jpg,https://i0.wp.com/tobiakiode.com/wp-content/uploads/2026/09/tobiakiode-african-print-lanyard-amber-sunrise-print-closeup-studio-white-v3.avif?format=jpg&ssl=1&filename=TA-LAN-P03-4.jpg,https://i0.wp.com/tobiakiode.com/wp-content/uploads/2026/09/tobiakiode-african-print-lanyard-amber-sunrise-safety-release-studio-white-v3.avif?format=jpg&ssl=1&filename=TA-LAN-P03-5.jpg,https://i0.wp.com/tobiakiode.com/wp-content/uploads/2026/09/tobiakiode-african-print-lanyard-amber-sunrise-brand-clasp-studio-white-v3.avif?format=jpg&ssl=1&filename=TA-LAN-P03-6.jpg,https://i0.wp.com/tobiakiode.com/wp-content/uploads/2026/08/tobiakiode-african-print-lanyard-amber-sunrise-gentleman-corporate-lifestyle.avif?format=jpg&ssl=1&filename=TA-LAN-P03-7.jpg,https://i0.wp.com/tobiakiode.com/wp-content/uploads/2026/08/tobiakiode-african-print-lanyard-amber-sunrise-lady-corporate-lifestyle.avif?format=jpg&ssl=1&filename=TA-LAN-P03-8.jpg,https://i0.wp.com/tobiakiode.com/wp-content/uploads/2026/08/tobiakiode-african-print-lanyard-amber-sunrise-group-community-lifestyle.avif?format=jpg&ssl=1&filename=TA-LAN-P03-9.jpg",TobiAkiode,"9.99 GBP",FC-412916,"Amber Sunrise","Apparel & Accessories > Clothing Accessories > Lanyards","Apparel & Accessories > Clothing Accessories",adult,unisex,Multicolour,"0.016 kg","GB:::3.49 GBP",lanyards,sale-price-active,website-checkout,in-stock,fluentcart,TobiAkiode
TA-LAN-P04,"African Print Breakaway Lanyard for ID Badges & Keys by TobiAkiode - Emerald Crosshatch","African print breakaway lanyard for ID badges, work passes and keys, available in 10 distinctive pattern choices for work, events, training and gifting.","in stock",new,"12.99 GBP",https://tobiakiode.com/shop/product/african-print-lanyard-tobiakiode/?selected=106,https://i0.wp.com/tobiakiode.com/wp-content/uploads/2026/09/tobiakiode-african-print-lanyard-emerald-crosshatch-hero-studio-white-v3.avif?format=jpg&ssl=1&filename=TA-LAN-P04.jpg,"https://i0.wp.com/tobiakiode.com/wp-content/uploads/2026/09/tobiakiode-african-print-lanyard-emerald-crosshatch-merchant-featured-studio-white-v3.avif?format=jpg&ssl=1&filename=TA-LAN-P04-2.jpg,https://i0.wp.com/tobiakiode.com/wp-content/uploads/2026/09/tobiakiode-african-print-lanyard-emerald-crosshatch-alternate-studio-white-v3.avif?format=jpg&ssl=1&filename=TA-LAN-P04-3.jpg,https://i0.wp.com/tobiakiode.com/wp-content/uploads/2026/09/tobiakiode-african-print-lanyard-emerald-crosshatch-print-closeup-studio-white-v3.avif?format=jpg&ssl=1&filename=TA-LAN-P04-4.jpg,https://i0.wp.com/tobiakiode.com/wp-content/uploads/2026/09/tobiakiode-african-print-lanyard-emerald-crosshatch-safety-release-studio-white-v3.avif?format=jpg&ssl=1&filename=TA-LAN-P04-5.jpg,https://i0.wp.com/tobiakiode.com/wp-content/uploads/2026/09/tobiakiode-african-print-lanyard-emerald-crosshatch-brand-clasp-studio-white-v3.avif?format=jpg&ssl=1&filename=TA-LAN-P04-6.jpg,https://i0.wp.com/tobiakiode.com/wp-content/uploads/2026/08/tobiakiode-african-print-lanyard-emerald-crosshatch-gentleman-corporate-lifestyle.avif?format=jpg&ssl=1&filename=TA-LAN-P04-7.jpg,https://i0.wp.com/tobiakiode.com/wp-content/uploads/2026/08/tobiakiode-african-print-lanyard-emerald-crosshatch-lady-corporate-lifestyle.avif?format=jpg&ssl=1&filename=TA-LAN-P04-8.jpg,https://i0.wp.com/tobiakiode.com/wp-content/uploads/2026/08/tobiakiode-african-print-lanyard-emerald-crosshatch-group-community-lifestyle.avif?format=jpg&ssl=1&filename=TA-LAN-P04-9.jpg",TobiAkiode,"9.99 GBP",FC-412916,"Emerald Crosshatch","Apparel & Accessories > Clothing Accessories > Lanyards","Apparel & Accessories > Clothing Accessories",adult,unisex,Multicolour,"0.016 kg","GB:::3.49 GBP",lanyards,sale-price-active,website-checkout,in-stock,fluentcart,TobiAkiode
TA-LAN-P06,"African Print Breakaway Lanyard for ID Badges & Keys by TobiAkiode - Indigo Patchwork","African print breakaway lanyard for ID badges, work passes and keys, available in 10 distinctive pattern choices for work, events, training and gifting.","in stock",new,"12.99 GBP",https://tobiakiode.com/shop/product/african-print-lanyard-tobiakiode/?selected=108,https://i0.wp.com/tobiakiode.com/wp-content/uploads/2026/09/tobiakiode-african-print-lanyard-indigo-patchwork-hero-studio-white-v3.avif?format=jpg&ssl=1&filename=TA-LAN-P06.jpg,"https://i0.wp.com/tobiakiode.com/wp-content/uploads/2026/09/tobiakiode-african-print-lanyard-indigo-patchwork-merchant-featured-studio-white-v3.avif?format=jpg&ssl=1&filename=TA-LAN-P06-2.jpg,https://i0.wp.com/tobiakiode.com/wp-content/uploads/2026/09/tobiakiode-african-print-lanyard-indigo-patchwork-alternate-studio-white-v3.avif?format=jpg&ssl=1&filename=TA-LAN-P06-3.jpg,https://i0.wp.com/tobiakiode.com/wp-content/uploads/2026/09/tobiakiode-african-print-lanyard-indigo-patchwork-print-closeup-studio-white-v3.avif?format=jpg&ssl=1&filename=TA-LAN-P06-4.jpg,https://i0.wp.com/tobiakiode.com/wp-content/uploads/2026/09/tobiakiode-african-print-lanyard-indigo-patchwork-safety-release-studio-white-v3.avif?format=jpg&ssl=1&filename=TA-LAN-P06-5.jpg,https://i0.wp.com/tobiakiode.com/wp-content/uploads/2026/09/tobiakiode-african-print-lanyard-indigo-patchwork-brand-clasp-studio-white-v3.avif?format=jpg&ssl=1&filename=TA-LAN-P06-6.jpg,https://i0.wp.com/tobiakiode.com/wp-content/uploads/2026/08/tobiakiode-african-print-lanyard-indigo-patchwork-gentleman-corporate-lifestyle.avif?format=jpg&ssl=1&filename=TA-LAN-P06-7.jpg,https://i0.wp.com/tobiakiode.com/wp-content/uploads/2026/08/tobiakiode-african-print-lanyard-indigo-patchwork-lady-corporate-lifestyle.avif?format=jpg&ssl=1&filename=TA-LAN-P06-8.jpg,https://i0.wp.com/tobiakiode.com/wp-content/uploads/2026/08/tobiakiode-african-print-lanyard-indigo-patchwork-group-community-lifestyle.avif?format=jpg&ssl=1&filename=TA-LAN-P06-9.jpg",TobiAkiode,"9.99 GBP",FC-412916,"Indigo Patchwork","Apparel & Accessories > Clothing Accessories > Lanyards","Apparel & Accessories > Clothing Accessories",adult,unisex,Multicolour,"0.016 kg","GB:::3.49 GBP",lanyards,sale-price-active,website-checkout,in-stock,fluentcart,TobiAkiode
TA-LAN-P02,"African Print Breakaway Lanyard for ID Badges & Keys by TobiAkiode - Lagoon Grid","African print breakaway lanyard for ID badges, work passes and keys, available in 10 distinctive pattern choices for work, events, training and gifting.","in stock",new,"12.99 GBP",https://tobiakiode.com/shop/product/african-print-lanyard-tobiakiode/?selected=104,https://i0.wp.com/tobiakiode.com/wp-content/uploads/2026/09/tobiakiode-african-print-lanyard-lagoon-grid-hero-studio-white-v3.avif?format=jpg&ssl=1&filename=TA-LAN-P02.jpg,"https://i0.wp.com/tobiakiode.com/wp-content/uploads/2026/09/tobiakiode-african-print-lanyard-lagoon-grid-merchant-featured-studio-white-v3.avif?format=jpg&ssl=1&filename=TA-LAN-P02-2.jpg,https://i0.wp.com/tobiakiode.com/wp-content/uploads/2026/09/tobiakiode-african-print-lanyard-lagoon-grid-alternate-studio-white-v3.avif?format=jpg&ssl=1&filename=TA-LAN-P02-3.jpg,https://i0.wp.com/tobiakiode.com/wp-content/uploads/2026/09/tobiakiode-african-print-lanyard-lagoon-grid-print-closeup-studio-white-v3.avif?format=jpg&ssl=1&filename=TA-LAN-P02-4.jpg,https://i0.wp.com/tobiakiode.com/wp-content/uploads/2026/09/tobiakiode-african-print-lanyard-lagoon-grid-safety-release-studio-white-v3.avif?format=jpg&ssl=1&filename=TA-LAN-P02-5.jpg,https://i0.wp.com/tobiakiode.com/wp-content/uploads/2026/09/tobiakiode-african-print-lanyard-lagoon-grid-brand-clasp-studio-white-v3.avif?format=jpg&ssl=1&filename=TA-LAN-P02-6.jpg,https://i0.wp.com/tobiakiode.com/wp-content/uploads/2026/08/tobiakiode-african-print-lanyard-lagoon-grid-gentleman-corporate-lifestyle.avif?format=jpg&ssl=1&filename=TA-LAN-P02-7.jpg,https://i0.wp.com/tobiakiode.com/wp-content/uploads/2026/08/tobiakiode-african-print-lanyard-lagoon-grid-lady-corporate-lifestyle.avif?format=jpg&ssl=1&filename=TA-LAN-P02-8.jpg,https://i0.wp.com/tobiakiode.com/wp-content/uploads/2026/08/tobiakiode-african-print-lanyard-lagoon-grid-group-community-lifestyle.avif?format=jpg&ssl=1&filename=TA-LAN-P02-9.jpg",TobiAkiode,"9.99 GBP",FC-412916,"Lagoon Grid","Apparel & Accessories > Clothing Accessories > Lanyards","Apparel & Accessories > Clothing Accessories",adult,unisex,Multicolour,"0.016 kg","GB:::3.49 GBP",lanyards,sale-price-active,website-checkout,in-stock,fluentcart,TobiAkiode
TA-LAN-P07,"African Print Breakaway Lanyard for ID Badges & Keys by TobiAkiode - Festival Collage","African print breakaway lanyard for ID badges, work passes and keys, available in 10 distinctive pattern choices for work, events, training and gifting.","in stock",new,"12.99 GBP",https://tobiakiode.com/shop/product/african-print-lanyard-tobiakiode/?selected=109,https://i0.wp.com/tobiakiode.com/wp-content/uploads/2026/09/tobiakiode-african-print-lanyard-festival-collage-hero-studio-white-v3.avif?format=jpg&ssl=1&filename=TA-LAN-P07.jpg,"https://i0.wp.com/tobiakiode.com/wp-content/uploads/2026/09/tobiakiode-african-print-lanyard-festival-collage-merchant-featured-studio-white-v3.avif?format=jpg&ssl=1&filename=TA-LAN-P07-2.jpg,https://i0.wp.com/tobiakiode.com/wp-content/uploads/2026/09/tobiakiode-african-print-lanyard-festival-collage-alternate-studio-white-v3.avif?format=jpg&ssl=1&filename=TA-LAN-P07-3.jpg,https://i0.wp.com/tobiakiode.com/wp-content/uploads/2026/09/tobiakiode-african-print-lanyard-festival-collage-print-closeup-studio-white-v3.avif?format=jpg&ssl=1&filename=TA-LAN-P07-4.jpg,https://i0.wp.com/tobiakiode.com/wp-content/uploads/2026/09/tobiakiode-african-print-lanyard-festival-collage-safety-release-studio-white-v3.avif?format=jpg&ssl=1&filename=TA-LAN-P07-5.jpg,https://i0.wp.com/tobiakiode.com/wp-content/uploads/2026/09/tobiakiode-african-print-lanyard-festival-collage-brand-clasp-studio-white-v3.avif?format=jpg&ssl=1&filename=TA-LAN-P07-6.jpg,https://i0.wp.com/tobiakiode.com/wp-content/uploads/2026/08/tobiakiode-african-print-lanyard-festival-collage-gentleman-corporate-lifestyle.avif?format=jpg&ssl=1&filename=TA-LAN-P07-7.jpg,https://i0.wp.com/tobiakiode.com/wp-content/uploads/2026/08/tobiakiode-african-print-lanyard-festival-collage-lady-corporate-lifestyle.avif?format=jpg&ssl=1&filename=TA-LAN-P07-8.jpg,https://i0.wp.com/tobiakiode.com/wp-content/uploads/2026/08/tobiakiode-african-print-lanyard-festival-collage-group-community-lifestyle.avif?format=jpg&ssl=1&filename=TA-LAN-P07-9.jpg",TobiAkiode,"9.99 GBP",FC-412916,"Festival Collage","Apparel & Accessories > Clothing Accessories > Lanyards","Apparel & Accessories > Clothing Accessories",adult,unisex,Multicolour,"0.016 kg","GB:::3.49 GBP",lanyards,sale-price-active,website-checkout,in-stock,fluentcart,TobiAkiode
TA-LAN-P10,"African Print Breakaway Lanyard for ID Badges & Keys by TobiAkiode - Zebra Ember","African print breakaway lanyard for ID badges, work passes and keys, available in 10 distinctive pattern choices for work, events, training and gifting.","in stock",new,"12.99 GBP",https://tobiakiode.com/shop/product/african-print-lanyard-tobiakiode/?selected=112,https://i0.wp.com/tobiakiode.com/wp-content/uploads/2026/09/tobiakiode-african-print-lanyard-zebra-ember-hero-studio-white-v3.avif?format=jpg&ssl=1&filename=TA-LAN-P10.jpg,"https://i0.wp.com/tobiakiode.com/wp-content/uploads/2026/09/tobiakiode-african-print-lanyard-zebra-ember-merchant-featured-studio-white-v3.avif?format=jpg&ssl=1&filename=TA-LAN-P10-2.jpg,https://i0.wp.com/tobiakiode.com/wp-content/uploads/2026/09/tobiakiode-african-print-lanyard-zebra-ember-alternate-studio-white-v3.avif?format=jpg&ssl=1&filename=TA-LAN-P10-3.jpg,https://i0.wp.com/tobiakiode.com/wp-content/uploads/2026/09/tobiakiode-african-print-lanyard-zebra-ember-print-closeup-studio-white-v3.avif?format=jpg&ssl=1&filename=TA-LAN-P10-4.jpg,https://i0.wp.com/tobiakiode.com/wp-content/uploads/2026/09/tobiakiode-african-print-lanyard-zebra-ember-safety-release-studio-white-v3.avif?format=jpg&ssl=1&filename=TA-LAN-P10-5.jpg,https://i0.wp.com/tobiakiode.com/wp-content/uploads/2026/09/tobiakiode-african-print-lanyard-zebra-ember-brand-clasp-studio-white-v3.avif?format=jpg&ssl=1&filename=TA-LAN-P10-6.jpg,https://i0.wp.com/tobiakiode.com/wp-content/uploads/2026/08/tobiakiode-african-print-lanyard-zebra-ember-gentleman-corporate-lifestyle.avif?format=jpg&ssl=1&filename=TA-LAN-P10-7.jpg,https://i0.wp.com/tobiakiode.com/wp-content/uploads/2026/08/tobiakiode-african-print-lanyard-zebra-ember-lady-corporate-lifestyle.avif?format=jpg&ssl=1&filename=TA-LAN-P10-8.jpg,https://i0.wp.com/tobiakiode.com/wp-content/uploads/2026/08/tobiakiode-african-print-lanyard-zebra-ember-group-community-lifestyle.avif?format=jpg&ssl=1&filename=TA-LAN-P10-9.jpg",TobiAkiode,"9.99 GBP",FC-412916,"Zebra Ember","Apparel & Accessories > Clothing Accessories > Lanyards","Apparel & Accessories > Clothing Accessories",adult,unisex,Multicolour,"0.016 kg","GB:::3.49 GBP",lanyards,sale-price-active,website-checkout,in-stock,fluentcart,TobiAkiode
TA-LAN-P09,"African Print Breakaway Lanyard for ID Badges & Keys by TobiAkiode - Ember Geometry","African print breakaway lanyard for ID badges, work passes and keys, available in 10 distinctive pattern choices for work, events, training and gifting.","in stock",new,"12.99 GBP",https://tobiakiode.com/shop/product/african-print-lanyard-tobiakiode/?selected=111,https://i0.wp.com/tobiakiode.com/wp-content/uploads/2026/09/tobiakiode-african-print-lanyard-ember-geometry-hero-studio-white-v3.avif?format=jpg&ssl=1&filename=TA-LAN-P09.jpg,"https://i0.wp.com/tobiakiode.com/wp-content/uploads/2026/09/tobiakiode-african-print-lanyard-ember-geometry-merchant-featured-studio-white-v3.avif?format=jpg&ssl=1&filename=TA-LAN-P09-2.jpg,https://i0.wp.com/tobiakiode.com/wp-content/uploads/2026/09/tobiakiode-african-print-lanyard-ember-geometry-alternate-studio-white-v3.avif?format=jpg&ssl=1&filename=TA-LAN-P09-3.jpg,https://i0.wp.com/tobiakiode.com/wp-content/uploads/2026/09/tobiakiode-african-print-lanyard-ember-geometry-print-closeup-studio-white-v3.avif?format=jpg&ssl=1&filename=TA-LAN-P09-4.jpg,https://i0.wp.com/tobiakiode.com/wp-content/uploads/2026/09/tobiakiode-african-print-lanyard-ember-geometry-safety-release-studio-white-v3.avif?format=jpg&ssl=1&filename=TA-LAN-P09-5.jpg,https://i0.wp.com/tobiakiode.com/wp-content/uploads/2026/09/tobiakiode-african-print-lanyard-ember-geometry-brand-clasp-studio-white-v3.avif?format=jpg&ssl=1&filename=TA-LAN-P09-6.jpg,https://i0.wp.com/tobiakiode.com/wp-content/uploads/2026/08/tobiakiode-african-print-lanyard-ember-geometry-gentleman-corporate-lifestyle.avif?format=jpg&ssl=1&filename=TA-LAN-P09-7.jpg,https://i0.wp.com/tobiakiode.com/wp-content/uploads/2026/08/tobiakiode-african-print-lanyard-ember-geometry-lady-corporate-lifestyle.avif?format=jpg&ssl=1&filename=TA-LAN-P09-8.jpg,https://i0.wp.com/tobiakiode.com/wp-content/uploads/2026/08/tobiakiode-african-print-lanyard-ember-geometry-group-community-lifestyle.avif?format=jpg&ssl=1&filename=TA-LAN-P09-9.jpg",TobiAkiode,"9.99 GBP",FC-412916,"Ember Geometry","Apparel & Accessories > Clothing Accessories > Lanyards","Apparel & Accessories > Clothing Accessories",adult,unisex,Multicolour,"0.016 kg","GB:::3.49 GBP",lanyards,sale-price-active,website-checkout,in-stock,fluentcart,TobiAkiode
